CPI Average Prices 2020,,,
,,,
,,Feb-20,
,"Cola flavoured/other fizzy drink, 330ml, pack 4-8",3.46,
,Flavoured water bott 900ML - 1.5LT,0.72,
,"Cola Drink, reg, Bottle, 1.25-2L",2,
,"Cola Drink, Diet 1.25-2L",1.42,
,Sugar -Granulated-white-per kg,0.75,
,Jar of jam-340-454g-specify flavour,0.99,
,"Honey, jar/bottle, 340g",2,
,Mints,0.66,
,Chocolate 4,0.73,
,Fruit Pastilles 2,0.7,
,Chewing Gum/Bubble Gum-single pack.,0.57,
,carton/box of chocolates 350g - 500g,3.91,
,Chocolate 10,0.73,
,bag of sweets - branded chocolate,1.28,
,bag of sweets - not chocolate,1.07,
,"Chocolate, large bar, 100-200g",1.38,
,Chocolate 12,0.57,
,Chocolate 13,0.59,
,"potatoes, New, loose or pre-packed, per Kg",1.37,
,potatoes- old white- state loose/pre-pack (per kg),0.74,
,potatoes- baking- state loose/pre-pack (per kg),1.01,
,Potato Crisps-25g/40g,0.73,
,Potato Crisps-multi-pack,1.29,
,frozen chips 900g-1kg,1.82,
,premium potato crisps eg kettle chips (150-200g),1.59,
,"Prepared Mashed Potato, chilled",1.08,
,Fresh Veg-Cauliflower-each,1.02,
,Fresh Veg-Cucumber-whole,0.64,
,Fresh Veg-Lettuce-Iceberg-each,0.68,
,fresh veg-tomatoes per kg,2.07,
,fresh veg-cabbage state each or per kg,0.76,
,fresh veg-carrots per kg,0.61,
,fresh veg-onions per kg,0.73,
,fresh veg-mushrooms per kg,3.11,
,pre-packed salad 100-250g (specify type),1.25,
,fresh veg-broccoli-per kg,1.93,
,fresh veg-courgette-per kg,2.14,
,fresh veg-peppers - state loose or per kg,0.6,
,vegetable stir fry fresh pack 300-500g,1.15,
,Sweet Potato,1.27,
,CANNED TOMATOES 390-400G,0.48,
,"Baked Beans, 400-420g tin",0.62,
,canned sweetcorn (198-340g),0.75,
,frozen garden peas 800g-1kg,1.43,
,Oranges-class 1-each,0.36,
,Avocado pear-each,1.11,
,Kiwi Fruit-each,0.25,
,Grapefruit-each,0.55,
,apples-cooking per kg,1.98,
,apples-dessert per kg,1.94,
,pears-dessert per kg,2.02,
,bananas per kg,0.92,
,strawberries (state per kg or per punnet),7.59,
,grapes per kg,3.94,
,small type oranges per pack/kg,2.39,
,Plums - state per pack/Kg (see Help screen),2.09,
,pineapple each,1.4,
,"Fruit, fresh, snacking, 150-350g",1.74,
,"Melon, each, eg Honeydew",1.85,
,"Lemon, each",0.3,
,"Blueberries, punnet",11.33,
,"Raspberries, punnet",13.82,
,packet of peanuts 100-200g (roasted/salted),1.34,
,Canned Fruit-400-450g-specify type,0.95,
,dried fruit 100 - 250g pack eg appricots,2.14,
,vegetable pickle 280 - 560g eg branston,1.49,
,Canned Soup-390-425g,0.78,
,"Tomato Ketchup, bottle, 340 - 500g / 290 - 460mls",1.47,
,Frozen ready-cooked meal-to serve one,1.66,
,Cook-in sauce-jar/can 350-520g (eg bolognese),1.41,
,"frozen vegetarian burger/grills, pack, 200 - 454g",1.87,
,mayonnaise 400g-500g,1.4,
,ice cream specify flavour (500ml-1 litre),2.54,
,dried potted snack eg noodles/pasta (50-120g),0.82,
,chilled ready meal-meat based-serves 1-specify wgt,2.56,
,chilled ready meal-fish/veg based-serves1-spec wgt,2.52,
,Chocolate covered ice cream bar 80-130ml eg Magnum,0.57,
,"Chilled Pizza,each, 300-600g",3.04,
,Quiche,2.2,
,"Vegetable Crisps, Pack",1.58,
,Coffee: ground: filter fine (227-250g),3.09,
,Coffee-Instant-100g jar,2.77,
,hot chocolate drink instant 250-400g,2.19,
,"Coffee pods, pack 8-16",3.73,
,Takeaway Cooked Pastry Based Savoury Snack,1.16,
,"Burger in a Bun, eat in or takeaway",3.26,
